full_name,state,party,role,cc_score,cc_score_state_mean,color,x_score
Sine Kerr,Arizona,Republican,Senator,5,48.95712204,red,5
Justin Wilmeth,Arizona,Republican,Representative,5,48.95712204,red,5
Lorenzo Sierra,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Joseph Chaplik,Arizona,Republican,Representative,0,48.95712204,red,0
Athena Salman,Arizona,Democrat,Representative,96.4,48.95712204,blue,96.4
Lisa Otondo,Arizona,Democrat,Senator,86.8,48.95712204,blue,86.8
Jennifer Jermaine,Arizona,Democrat,Representative,98,48.95712204,blue,98
David Livingston,Arizona,Republican,Senator,3.5,48.95712204,red,3.5
Shawnna Bolick,Arizona,Republican,Representative,9.4,48.95712204,red,9.4
Jennifer Pawlik,Arizona,Democrat,Representative,92.5,48.95712204,blue,92.5
Amish Shah,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Lupe Contreras,Arizona,Democrat,Senator,89.1,48.95712204,blue,89.1
Jake Hoffman,Arizona,Republican,Representative,0,48.95712204,red,0
Diego Rodriguez,Arizona,Democrat,Representative,94.1,48.95712204,blue,94.1
Becky Nutt,Arizona,Republican,Representative,10.7,48.95712204,red,10.7
David Cook,Arizona,Republican,Representative,10.6,48.95712204,red,10.6
Brenda Barton,Arizona,Republican,Representative,2.2,48.95712204,red,2.2
Frank Carroll,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Tyler Pace,Arizona,Republican,Senator,10,48.95712204,red,10
Sean Bowie,Arizona,Democrat,Senator,88.7,48.95712204,blue,88.7
Kevin Payne,Arizona,Republican,Representative,7.1,48.95712204,red,7.1
Beverly Pingerelli,Arizona,Republican,Representative,0,48.95712204,red,0
Judy Schwiebert,Arizona,Democrat,Representative,100,48.95712204,blue,100
Richard Andrade,Arizona,Democrat,Representative,96,48.95712204,blue,96
Thomas Shope,Arizona,Republican,Senator,8,48.95712204,red,8
Joanne Osborne,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Wendy Rogers,Arizona,Republican,Senator,0,48.95712204,red,0
Myron Tsosie,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Stephanie Stahl Hamilton,Arizona,Democrat,Representative,100,48.95712204,blue,100
Melody Hernandez,Arizona,Democrat,Representative,100,48.95712204,blue,100
Sonny Borrelli,Arizona,Republican,Senator,3.5,48.95712204,red,3.5
Bret Roberts,Arizona,Republican,Representative,11.3,48.95712204,red,11.3
Walter Blackman,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Juan Mendez,Arizona,Democrat,Senator,100,48.95712204,blue,100
Joel John,Arizona,Republican,Representative,10,48.95712204,red,10
Domingo Degrazia,Arizona,Democrat,Representative,98.1,48.95712204,blue,98.1
Charlene Fernandez,Arizona,Democrat,Representative,95.3,48.95712204,blue,95.3
Kelly Townsend,Arizona,Republican,Senator,8.2,48.95712204,red,8.2
Aaron Lieberman,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Tony Navarrete,Arizona,Democrat,Senator,93.8,48.95712204,blue,93.8
Regina Cobb,Arizona,Republican,Representative,7.9,48.95712204,red,7.9
Cesar Chavez,Arizona,Democrat,Representative,88.8,48.95712204,blue,88.8
