,continent,medal_type,year,no_of_medals
0,Africa,Bronze,2000,15
1,Africa,Bronze,2004,20
2,Africa,Bronze,2008,19
3,Africa,Bronze,2012,11
4,Africa,Bronze,2016,46
5,Africa,Gold,2000,32
6,Africa,Gold,2004,12
7,Africa,Gold,2008,13
8,Africa,Gold,2012,14
9,Africa,Gold,2016,10
10,Africa,Silver,2000,10
11,Africa,Silver,2004,13
12,Africa,Silver,2008,28
13,Africa,Silver,2012,12
14,Africa,Silver,2016,19
15,Asia,Bronze,2000,90
16,Asia,Bronze,2002,10
17,Asia,Bronze,2004,107
18,Asia,Bronze,2006,8
19,Asia,Bronze,2008,139
20,Asia,Bronze,2010,11
21,Asia,Bronze,2012,138
22,Asia,Bronze,2014,14
23,Asia,Bronze,2016,134
24,Asia,Gold,2000,71
25,Asia,Gold,2002,7
26,Asia,Gold,2004,106
27,Asia,Gold,2006,17
28,Asia,Gold,2008,156
29,Asia,Gold,2010,15
30,Asia,Gold,2012,102
31,Asia,Gold,2014,11
32,Asia,Gold,2016,102
33,Asia,Silver,2000,94
34,Asia,Silver,2002,8
35,Asia,Silver,2004,100
36,Asia,Silver,2006,8
37,Asia,Silver,2008,101
38,Asia,Silver,2010,19
39,Asia,Silver,2012,121
40,Asia,Silver,2014,13
41,Asia,Silver,2016,88
42,Europe,Bronze,2000,361
43,Europe,Bronze,2002,119
44,Europe,Bronze,2004,384
45,Europe,Bronze,2006,123
46,Europe,Bronze,2008,293
47,Europe,Bronze,2010,130
48,Europe,Bronze,2012,332
49,Europe,Bronze,2014,154
50,Europe,Bronze,2016,334
51,Europe,Gold,2000,339
52,Europe,Gold,2002,90
53,Europe,Gold,2004,284
54,Europe,Gold,2006,119
55,Europe,Gold,2008,279
56,Europe,Gold,2010,78
57,Europe,Gold,2012,290
58,Europe,Gold,2014,122
59,Europe,Gold,2016,288
60,Europe,Silver,2000,335
61,Europe,Silver,2002,84
62,Europe,Silver,2004,335
63,Europe,Silver,2006,128
64,Europe,Silver,2008,286
65,Europe,Silver,2010,77
66,Europe,Silver,2012,303
67,Europe,Silver,2014,130
68,Europe,Silver,2016,396
69,North America,Bronze,2000,100
70,North America,Bronze,2002,30
71,North America,Bronze,2004,105
72,North America,Bronze,2006,43
73,North America,Bronze,2008,111
74,North America,Bronze,2010,30
75,North America,Bronze,2012,97
76,North America,Bronze,2014,29
77,North America,Bronze,2016,146
78,North America,Gold,2000,159
79,North America,Gold,2002,63
80,North America,Gold,2004,160
81,North America,Gold,2006,39
82,North America,Gold,2008,149
83,North America,Gold,2010,79
84,North America,Gold,2012,181
85,North America,Gold,2014,69
86,North America,Gold,2016,161
87,North America,Silver,2000,122
88,North America,Silver,2002,65
89,North America,Silver,2004,97
90,North America,Silver,2006,39
91,North America,Silver,2008,167
92,North America,Silver,2010,78
93,North America,Silver,2012,98
94,North America,Silver,2014,52
95,North America,Silver,2016,81
96,Australia,Bronze,2000,57
97,Australia,Bronze,2004,31
98,Australia,Bronze,2006,1
99,Australia,Bronze,2008,85
100,Australia,Bronze,2012,74
101,Australia,Bronze,2014,1
102,Australia,Bronze,2016,30
103,Australia,Gold,2000,61
104,Australia,Gold,2002,2
105,Australia,Gold,2004,53
106,Australia,Gold,2006,1
107,Australia,Gold,2008,35
108,Australia,Gold,2010,2
109,Australia,Gold,2012,27
110,Australia,Gold,2016,42
111,Australia,Silver,2000,69
112,Australia,Silver,2004,79
113,Australia,Silver,2008,44
114,Australia,Silver,2010,1
115,Australia,Silver,2012,40
116,Australia,Silver,2014,2
117,Australia,Silver,2016,59
118,South America,Bronze,2000,57
119,South America,Bronze,2004,30
120,South America,Bronze,2008,63
121,South America,Bronze,2012,23
122,South America,Bronze,2016,12
123,South America,Gold,2000,1
124,South America,Gold,2004,49
125,South America,Gold,2008,39
126,South America,Gold,2012,18
127,South America,Gold,2016,60
128,South America,Silver,2000,31
129,South America,Silver,2004,36
130,South America,Silver,2008,38
131,South America,Silver,2012,56
132,South America,Silver,2016,12
