,continent,medal_type,year,no_of_medals
0,Africa,Bronze,1920,6
1,Africa,Bronze,1924,1
2,Africa,Bronze,1928,6
3,Africa,Bronze,1932,3
4,Africa,Bronze,1936,2
5,Africa,Bronze,1948,3
6,Africa,Bronze,1952,5
7,Africa,Bronze,1956,7
8,Africa,Bronze,1960,2
9,Africa,Bronze,1964,4
10,Africa,Bronze,1968,4
11,Africa,Bronze,1972,9
12,Africa,Bronze,1980,2
13,Africa,Bronze,1984,10
14,Africa,Bronze,1988,5
15,Africa,Bronze,1992,30
16,Africa,Bronze,1996,14
17,Africa,Bronze,2000,15
18,Africa,Bronze,2004,20
19,Africa,Bronze,2008,19
20,Africa,Bronze,2012,11
21,Africa,Bronze,2016,46
22,Africa,Gold,1908,1
23,Africa,Gold,1912,5
24,Africa,Gold,1920,3
25,Africa,Gold,1924,1
26,Africa,Gold,1928,3
27,Africa,Gold,1932,2
28,Africa,Gold,1936,2
29,Africa,Gold,1948,4
30,Africa,Gold,1952,2
31,Africa,Gold,1960,1
32,Africa,Gold,1964,1
33,Africa,Gold,1968,5
34,Africa,Gold,1972,6
35,Africa,Gold,1980,17
36,Africa,Gold,1984,3
37,Africa,Gold,1988,6
38,Africa,Gold,1992,5
39,Africa,Gold,1996,26
40,Africa,Gold,2000,32
41,Africa,Gold,2004,12
42,Africa,Gold,2008,13
43,Africa,Gold,2012,14
44,Africa,Gold,2016,10
45,Africa,Silver,1908,1
46,Africa,Silver,1912,2
47,Africa,Silver,1920,12
48,Africa,Silver,1924,1
49,Africa,Silver,1928,1
50,Africa,Silver,1936,2
51,Africa,Silver,1948,4
52,Africa,Silver,1952,8
53,Africa,Silver,1960,3
54,Africa,Silver,1964,1
55,Africa,Silver,1968,10
56,Africa,Silver,1972,5
57,Africa,Silver,1980,3
58,Africa,Silver,1984,3
59,Africa,Silver,1988,3
60,Africa,Silver,1992,17
61,Africa,Silver,1996,12
62,Africa,Silver,2000,10
63,Africa,Silver,2004,13
64,Africa,Silver,2008,28
65,Africa,Silver,2012,12
66,Africa,Silver,2016,19
67,Asia,Bronze,1924,1
68,Asia,Bronze,1928,2
69,Asia,Bronze,1932,7
70,Asia,Bronze,1936,12
71,Asia,Bronze,1948,5
72,Asia,Bronze,1952,11
73,Asia,Bronze,1956,9
74,Asia,Bronze,1960,18
75,Asia,Bronze,1964,29
76,Asia,Bronze,1968,45
77,Asia,Bronze,1972,37
78,Asia,Bronze,1976,43
79,Asia,Bronze,1980,5
80,Asia,Bronze,1984,79
81,Asia,Bronze,1988,60
82,Asia,Bronze,1992,115
83,Asia,Bronze,1994,5
84,Asia,Bronze,1996,56
85,Asia,Bronze,1998,13
86,Asia,Bronze,2000,90
87,Asia,Bronze,2002,10
88,Asia,Bronze,2004,107
89,Asia,Bronze,2006,8
90,Asia,Bronze,2008,139
91,Asia,Bronze,2010,11
92,Asia,Bronze,2012,138
93,Asia,Bronze,2014,14
94,Asia,Bronze,2016,134
95,Asia,Gold,1924,8
96,Asia,Gold,1928,16
97,Asia,Gold,1932,25
98,Asia,Gold,1936,29
99,Asia,Gold,1948,26
100,Asia,Gold,1952,17
101,Asia,Gold,1956,26
102,Asia,Gold,1960,29
103,Asia,Gold,1964,49
104,Asia,Gold,1968,33
105,Asia,Gold,1972,31
106,Asia,Gold,1976,27
107,Asia,Gold,1980,16
108,Asia,Gold,1984,56
109,Asia,Gold,1988,39
110,Asia,Gold,1992,65
111,Asia,Gold,1994,12
112,Asia,Gold,1996,48
113,Asia,Gold,1998,14
114,Asia,Gold,2000,71
115,Asia,Gold,2002,7
116,Asia,Gold,2004,106
117,Asia,Gold,2006,17
118,Asia,Gold,2008,156
119,Asia,Gold,2010,15
120,Asia,Gold,2012,102
