full_name,cc_score,party,role,state,cc_score_state_mean,color,x_score,x,y,index,vy,vx,full_name_upper
Sine Kerr,5,Republican,Senator,Arizona,48.95712204,red,5,27.20386448,1109.973028,0,-0.001502804,-0.00288764,SINE KERR
Justin Wilmeth,5,Republican,Representative,Arizona,48.95712204,red,5,26.13189567,1128.502437,1,0.004087671,0.000920399,JUSTIN WILMETH
Lorenzo Sierra,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,481.2728819,1092.793684,2,-0.001334584,0.000264573,LORENZO SIERRA
Joseph Chaplik,0,Republican,Representative,Arizona,48.95712204,red,0,0.696910188,1116.846828,3,0.00067183,0.000138691,JOSEPH CHAPLIK
Athena Salman,96.4,Democrat,Representative,Arizona,48.95712204,blue,96.4,484.9306217,1129.148539,4,0.001726564,-0.000495187,ATHENA SALMAN
Lisa Otondo,86.8,Democrat,Senator,Arizona,48.95712204,blue,86.8,434,1108.333333,5,-3.68E-14,4.42E-16,LISA OTONDO
Jennifer Jermaine,98,Democrat,Representative,Arizona,48.95712204,blue,98,495.0201954,1094.102739,6,-0.002459152,0.001447083,JENNIFER JERMAINE
David Livingston,3.5,Republican,Senator,Arizona,48.95712204,red,3.5,13.95404638,1118.25857,7,0.00225739,-0.000130604,DAVID LIVINGSTON
Shawnna Bolick,9.4,Republican,Representative,Arizona,48.95712204,red,9.4,49.64512872,1101.655927,8,0.001091327,-0.000166562,SHAWNNA BOLICK
Jennifer Pawlik,92.5,Democrat,Representative,Arizona,48.95712204,blue,92.5,459.5442406,1102.788097,9,0.000189763,-0.001029226,JENNIFER PAWLIK
Amish Shah,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,478.4961207,1124.467981,10,0.003238395,-0.002853273,AMISH SHAH
Lupe Contreras,89.1,Democrat,Senator,Arizona,48.95712204,blue,89.1,445.7469416,1116.327274,11,0.001629055,-0.00179944,LUPE CONTRERAS
Jake Hoffman,0,Republican,Representative,Arizona,48.95712204,red,0,-5.456471417,1111.767282,12,-0.000760262,0.000687952,JAKE HOFFMAN
Diego Rodriguez,94.1,Democrat,Representative,Arizona,48.95712204,blue,94.1,467.5215926,1091.480903,13,-8.86E-05,-0.000831731,DIEGO RODRIGUEZ
Becky Nutt,10.7,Republican,Representative,Arizona,48.95712204,red,10.7,55.83304919,1106.955229,14,-0.000618544,-0.000715511,BECKY NUTT
David Cook,10.6,Republican,Representative,Arizona,48.95712204,red,10.6,54.2340359,1114.787474,15,4.25E-05,0.002288563,DAVID COOK
Brenda Barton,2.2,Republican,Representative,Arizona,48.95712204,red,2.2,7.811007732,1113.209661,16,0.000127482,0.000152223,BRENDA BARTON
Frank Carroll,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,75.5,1115.264586,17,-6.92E-05,4.48E-14,FRANK CARROLL
Tyler Pace,10,Republican,Senator,Arizona,48.95712204,red,10,52.202098,1123.321066,18,0.001693974,0.000620032,TYLER PACE
Sean Bowie,88.7,Democrat,Senator,Arizona,48.95712204,blue,88.7,442.7485295,1108.92479,19,0.000269483,0.000705861,SEAN BOWIE
Kevin Payne,7.1,Republican,Representative,Arizona,48.95712204,red,7.1,33.60828083,1125.742018,20,0.004801183,0.001894935,KEVIN PAYNE
Beverly Pingerelli,0,Republican,Representative,Arizona,48.95712204,red,0,1.621920184,1108.139977,21,-0.001560467,0.001523167,BEVERLY PINGERELLI
Judy Schwiebert,100,Democrat,Representative,Arizona,48.95712204,blue,100,500.4611792,1114.877866,22,-0.005138612,-0.003835637,JUDY SCHWIEBERT
Richard Andrade,96,Democrat,Representative,Arizona,48.95712204,blue,96,486.9968021,1105.328062,23,-0.000231477,0.00221483,RICHARD ANDRADE
Thomas Shope,8,Republican,Senator,Arizona,48.95712204,red,8,40.80237318,1112.283808,24,0.000741872,-0.001731401,THOMAS SHOPE
Joanne Osborne,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,75.5,1101.400916,25,9.64E-05,-3.73E-14,JOANNE OSBORNE
Wendy Rogers,0,Republican,Senator,Arizona,48.95712204,red,0,2.153955651,1100.145599,26,-0.001368747,-8.31E-05,WENDY ROGERS
Myron Tsosie,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,482.0285876,1084.843615,27,-0.00173278,-0.000399391,MYRON TSOSIE
Stephanie Stahl Hamilton,100,Democrat,Representative,Arizona,48.95712204,blue,100,501.5965695,1098.933596,28,-0.005364758,0.001395079,STEPHANIE STAHL HAMILTON
Melody Hernandez,100,Democrat,Representative,Arizona,48.95712204,blue,100,500.7440992,1106.889343,29,-0.005035238,0.004423263,MELODY HERNANDEZ
Sonny Borrelli,3.5,Republican,Senator,Arizona,48.95712204,red,3.5,15.25620705,1110.383925,30,0.002210679,0.001910847,SONNY BORRELLI
Bret Roberts,11.3,Republican,Representative,Arizona,48.95712204,red,11.3,61.82277126,1112.480513,31,-0.000128853,0.003864588,BRET ROBERTS
Walter Blackman,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,79.47979126,1108.333916,32,-1.36E-05,0.000468192,WALTER BLACKMAN
Juan Mendez,100,Democrat,Senator,Arizona,48.95712204,blue,100,507.9945614,1103.707132,33,-0.009163894,0.004675339,JUAN MENDEZ
Joel John,10,Republican,Representative,Arizona,48.95712204,red,10,48.30309367,1109.516198,34,0.001596564,-0.001239265,JOEL JOHN
Domingo Degrazia,98.1,Democrat,Representative,Arizona,48.95712204,blue,98.1,493.0523455,1117.948964,35,-0.001023626,-0.003488648,DOMINGO DEGRAZIA
Charlene Fernandez,95.3,Democrat,Representative,Arizona,48.95712204,blue,95.3,473.3038565,1104.042091,36,0.00036728,-0.000166732,CHARLENE FERNANDEZ
Kelly Townsend,8.2,Republican,Senator,Arizona,48.95712204,red,8.2,44.77556331,1088.67466,37,0.00014134,0.002698762,KELLY TOWNSEND
Aaron Lieberman,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,474.8059187,1088.166215,38,-0.000999061,-0.001331319,AARON LIEBERMAN
Tony Navarrete,93.8,Democrat,Senator,Arizona,48.95712204,blue,93.8,466.1032627,1107.351513,39,0.001363865,-0.001569865,TONY NAVARRETE
Regina Cobb,7.9,Republican,Representative,Arizona,48.95712204,red,7.9,41.31333206,1127.89248,40,0.001238653,0.002928889,REGINA COBB
Cesar Chavez,88.8,Democrat,Representative,Arizona,48.95712204,blue,88.8,443.669792,1100.98619,41,-0.000127718,-0.001052073,CESAR CHAVEZ
John Fillmore,11.3,Republican,Representative,Arizona,48.95712204,red,11.3,59.70099005,1120.574644,42,0.002412278,0.001223101,JOHN FILLMORE
Javan Mesnard,7.3,Republican,Senator,Arizona,48.95712204,red,7.3,37.31374816,1091.447613,43,-0.000701832,0.001438341,JAVAN MESNARD
Warren Petersen,7.3,Republican,Senator,Arizona,48.95712204,red,7.3,34.70814869,1107.216565,44,-0.001009046,-0.00249517,WARREN PETERSEN
Robert Meza,84.6,Democrat,Representative,Arizona,48.95712204,blue,84.6,423,1108.333333,45,1.77E-15,4.42E-16,ROBERT MEZA
Randall Friese,96.9,Democrat,Representative,Arizona,48.95712204,blue,96.9,488.5155121,1089.467493,46,-0.001966982,0.000727074,RANDALL FRIESE
Christine Marsh,94.1,Democrat,Senator,Arizona,48.95712204,blue,94.1,465.3924538,1115.322409,47,0.00126044,-0.002027441,CHRISTINE MARSH
Steve Kaiser,5,Republican,Representative,Arizona,48.95712204,red,5,20.10628703,1123.322487,48,0.004050427,-0.000644353,STEVE KAISER
Jeff Weninger,7.1,Republican,Representative,Arizona,48.95712204,red,7.1,36.01473796,1099.317703,49,-0.000475958,-0.000564662,JEFF WENINGER
Rebecca Rios,93.1,Democrat,Senator,Arizona,48.95712204,blue,93.1,458.8967043,1110.743405,50,0.000438804,-0.002898661,REBECCA RIOS
