full_name,cc_score,party,role,state,cc_score_state_mean,color,x_score,x,y,index,vy,vx
Sine Kerr,5,Republican,Senator,Arizona,48.95712204,red,5,20.78106065091631,1103.9251200638375,0,0.0006221027595209247,-0.0025881386365073484
Justin Wilmeth,5,Republican,Representative,Arizona,48.95712204,red,5,21.66347147186483,1111.8935002117885,1,0.0007816015143054641,-0.00158715284204861
Lorenzo Sierra,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,481.4556937747665,1131.7741673426826,2,0.0019265406247422282,0.0012108536836432126
Joseph Chaplik,0,Republican,Representative,Arizona,48.95712204,red,0,0.886791907659008,1109.7396207560307,3,0.0013990105861818038,-0.004793139581131676
Athena Salman,96.4,Democrat,Representative,Arizona,48.95712204,blue,96.4,484.5394009485844,1090.4850099874827,4,-0.002060252103690436,-0.00007642376299417767
Lisa Otondo,86.8,Democrat,Senator,Arizona,48.95712204,blue,86.8,434.00000000000006,1108.3333333333314,5,3.180675803905552e-15,-4.4176052832021557e-16
Jennifer Jermaine,98,Democrat,Representative,Arizona,48.95712204,blue,98,493.8928078761569,1125.7581408840483,6,0.001491231101238049,0.002008644735908152
David Livingston,3.5,Republican,Senator,Arizona,48.95712204,red,3.5,15.242256263357643,1116.626205296496,7,0.0009541181520056882,-0.0017641398309387601
Shawnna Bolick,9.4,Republican,Representative,Arizona,48.95712204,red,9.4,47.14676903073905,1092.7584223662936,8,0.001018718156692855,0.002325876411040923
Jennifer Pawlik,92.5,Democrat,Representative,Arizona,48.95712204,blue,92.5,459.62435534395354,1102.4678833211117,9,0.00013708918778838723,-0.0007227343726407653
Amish Shah,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,482.4750791511522,1118.0064989396558,10,0.0007107832297504644,0.0010288422841437086
Lupe Contreras,89.1,Democrat,Senator,Arizona,48.95712204,blue,89.1,442.8025690012147,1116.7311482447778,11,-0.0005986479273143198,-0.002966906782442198
Jake Hoffman,0,Republican,Representative,Arizona,48.95712204,red,0,1.2429057379318946,1117.7310667796046,12,0.0018438775944009905,-0.0027704027678469296
Diego Rodriguez,94.1,Democrat,Representative,Arizona,48.95712204,blue,94.1,468.63133876028184,1089.2756375306942,13,-0.0009724915805410523,-0.0012319243561525397
Becky Nutt,10.7,Republican,Representative,Arizona,48.95712204,red,10.7,49.94903422393006,1116.793184525388,14,-0.0002883222725119462,0.0005588866947781414
David Cook,10.6,Republican,Representative,Arizona,48.95712204,red,10.6,56.275762933994486,1111.99376444713,15,0.0004980002802870634,0.0034090422969831127
Brenda Barton,2.2,Republican,Representative,Arizona,48.95712204,red,2.2,7.954852334737638,1113.3983381566627,16,0.0013935952986486447,-0.0028706090405142028
Frank Carroll,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,75.46180804127899,1101.404858640026,17,0.000006797753601408586,0.00012775759417320558
Tyler Pace,10,Republican,Senator,Arizona,48.95712204,red,10,49.02871972210283,1108.841432840558,18,-0.00042785419504219754,0.0017544700790631843
Sean Bowie,88.7,Democrat,Senator,Arizona,48.95712204,blue,88.7,442.6191632368644,1101.19509127887,19,-0.000202613181123182,-0.00017225993337993751
Kevin Payne,7.1,Republican,Representative,Arizona,48.95712204,red,7.1,37.09469992569682,1126.2710323474007,20,0.00025874369355702445,0.001448239607245375
Beverly Pingerelli,0,Republican,Representative,Arizona,48.95712204,red,0,1.2328754634351877,1099.864567850863,21,-0.004296630429518498,-0.0002763939556474991
Judy Schwiebert,100,Democrat,Representative,Arizona,48.95712204,blue,100,502.90594708148,1112.608238361408,22,-0.00009539382367225925,0.0014566960012429707
Richard Andrade,96,Democrat,Representative,Arizona,48.95712204,blue,96,476.6052230362785,1089.901128180195,23,-0.002008240451265341,-0.001107931072204004
Thomas Shope,8,Republican,Senator,Arizona,48.95712204,red,8,40.76624135177739,1097.5302505605102,24,0.0002915643257265513,0.0006161850651944143
Joanne Osborne,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,79.48433293592826,1108.310603025802,25,0.00009025927963583359,0.00036241690271971577
Wendy Rogers,0,Republican,Senator,Arizona,48.95712204,red,0,-5.8068155290479275,1114.029119583793,26,0.002820880719079367,-0.0042438891455505905
Myron Tsosie,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,483.4697041396978,1104.2489023051248,27,-0.0007582505186782847,0.0013847361883666857
Stephanie Stahl Hamilton,100,Democrat,Representative,Arizona,48.95712204,blue,100,503.89656586407347,1098.464565537602,28,0.007515075538674833,0.0021509059631357155
Melody Hernandez,100,Democrat,Representative,Arizona,48.95712204,blue,100,499.7417393642987,1105.2975997201972,29,0.0023828669201036204,-0.006335312091049579
Sonny Borrelli,3.5,Republican,Senator,Arizona,48.95712204,red,3.5,13.712411268208506,1100.280823168443,30,-0.00010351557888861711,-0.0026464683954587572
Bret Roberts,11.3,Republican,Representative,Arizona,48.95712204,red,11.3,62.62907975705184,1107.1665614626431,31,0.0004438070590585243,0.003812544149292302
Walter Blackman,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,75.53301648863452,1115.2600853548379,32,0.000032690737592800355,-0.000008498030601873245
Juan Mendez,100,Democrat,Senator,Arizona,48.95712204,blue,100,498.8089111436065,1119.449355150164,33,-0.0005658988395037052,-0.0005363997682509295
Joel John,10,Republican,Representative,Arizona,48.95712204,red,10,55.30025157845281,1104.014672824773,34,-0.001059681310469473,0.0036828524375013497
Domingo Degrazia,98.1,Democrat,Representative,Arizona,48.95712204,blue,98.1,495.9338400089804,1098.2787239710528,35,-0.002331795093278575,0.0015488663237189135
Charlene Fernandez,95.3,Democrat,Representative,Arizona,48.95712204,blue,95.3,474.57320815774864,1117.4305018079187,36,0.0005405517017463758,-0.0006603683235425533
Kelly Townsend,8.2,Republican,Senator,Arizona,48.95712204,red,8.2,47.979701566376434,1100.7960366190748,37,-0.0007235621221328205,0.003435025844754587
Aaron Lieberman,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,479.032616557322,1110.8372809820294,38,-0.00005102759376640073,0.00008915409612976488
Tony Navarrete,93.8,Democrat,Senator,Arizona,48.95712204,blue,93.8,470.0004380800773,1124.01362334744,39,0.0013828057337678251,0.0011650684465791515
Regina Cobb,7.9,Republican,Representative,Arizona,48.95712204,red,7.9,43.52166842262319,1121.5111176019886,40,0.00045853498475032677,0.0010626530152123774
Cesar Chavez,88.8,Democrat,Representative,Arizona,48.95712204,blue,88.8,444.5765366294547,1108.9434393909332,41,-0.00014602029974483295,0.00038584501458140634
John Fillmore,11.3,Republican,Representative,Arizona,48.95712204,red,11.3,57.28427384992249,1119.9168389325532,42,-0.0004883263518236511,0.002268107439578283
Javan Mesnard,7.3,Republican,Senator,Arizona,48.95712204,red,7.3,34.488033549557144,1102.4207865850162,43,-0.00005204656368622794,-0.0007422247191396228
Warren Petersen,7.3,Republican,Senator,Arizona,48.95712204,red,7.3,36.242368278863026,1118.3307383617746,44,-0.0001986351221567744,-0.0002141022078357589
Robert Meza,84.6,Democrat,Representative,Arizona,48.95712204,blue,84.6,423.00000000000006,1108.3333333333342,45,-1.0602252679685172e-15,-4.4176052832021557e-16
Randall Friese,96.9,Democrat,Representative,Arizona,48.95712204,blue,96.9,487.96026740780223,1097.6673829587219,46,-0.0016278463230505538,0.0014408149630038578
Christine Marsh,94.1,Democrat,Senator,Arizona,48.95712204,blue,94.1,467.5743190577252,1103.0636247340094,47,-0.00024570150709784714,-0.00004447998525031541
Steve Kaiser,5,Republican,Representative,Arizona,48.95712204,red,5,26.38339459902721,1090.6484039003867,48,0.00015587759062135191,-0.0003415674295265769
Jeff Weninger,7.1,Republican,Representative,Arizona,48.95712204,red,7.1,33.47045032244855,1094.3807119875953,49,-0.0010690927038377682,0.00018585821914500998
Rebecca Rios,93.1,Democrat,Senator,Arizona,48.95712204,blue,93.1,458.6828511898902,1116.3035487024854,50,-0.0002720167101634358,-0.002175638614424273
Kirsten Engel,95.1,Democrat,Senator,Arizona,48.95712204,blue,95.1,472.08259158549424,1096.4695494766863,51,-0.000833091770281369,-0.0004183903395942337
Lela Alston,94.7,Democrat,Senator,Arizona,48.95712204,blue,94.7,471.10390786348785,1110.2360378071583,52,0.00040365346850807746,-0.001026496229131214
